timestamp,cpu,gpu
20:32:51,22.3,3
20:32:53,3.1,12
20:32:55,20.8,18
20:32:57,13.3,1
20:32:59,11.1,3
20:33:01,33.7,8
20:33:03,33.4,25
20:33:05,23.7,23
20:33:07,94.4,22
20:33:09,81.9,20
20:33:11,56.1,21
20:33:13,81.6,17
20:33:15,71.3,22
20:33:17,60.6,21
20:33:19,27.9,21
20:33:21,29.9,14
20:33:23,32.6,3
20:33:25,30.0,6
20:33:27,46.8,10
20:33:29,37.3,15
20:33:31,72.3,0
20:33:33,32.9,21
20:33:35,58.3,0
20:33:37,58.8,0
20:33:39,58.7,0
20:33:41,25.8,6
20:33:43,38.1,26
20:33:45,19.3,25
20:33:47,11.8,26
20:33:49,3.9,26
20:33:51,13.2,26
20:33:53,20.5,25
20:33:55,65.2,27
20:33:57,75.4,8
20:33:59,57.7,2
20:34:01,61.1,3
20:34:03,44.0,2
20:34:05,47.8,2
20:34:07,42.6,2
20:34:09,52.5,3
20:34:11,47.8,1
20:34:13,59.5,3
20:34:15,41.0,11
20:34:17,21.7,4
20:34:19,20.6,11
20:34:21,56.2,10
20:34:23,61.5,16
20:34:25,48.3,25
20:34:27,28.0,20
20:34:29,33.1,16
20:34:31,37.9,19
20:34:33,30.6,21
20:34:35,35.2,20
20:34:37,23.9,17
20:34:39,26.6,22
20:34:41,24.7,22
20:34:43,27.3,22
20:34:45,26.7,22
20:34:47,25.9,22
20:34:49,23.7,22
20:34:51,26.6,22
20:34:53,25.2,22
20:34:55,23.4,22
20:34:57,31.7,22
20:34:59,23.5,21
20:35:01,34.2,22
20:35:03,29.5,22
20:35:05,31.2,22
20:35:07,28.9,22
20:35:09,24.6,22
20:35:11,26.9,22
20:35:13,24.9,22
20:35:15,24.4,22
20:35:17,21.9,22
20:35:19,17.6,22
20:35:21,26.9,22
20:35:23,24.7,24
20:35:25,24.1,19
20:35:27,29.3,23
20:35:29,24.5,23
20:35:31,24.3,22
20:35:33,30.4,23
20:35:35,30.4,22
20:35:37,29.4,23
20:35:39,25.8,22
20:35:41,20.7,22
20:35:43,23.4,22
20:35:45,29.8,21
20:35:47,22.2,26
20:35:49,24.2,18
20:35:51,76.6,0
20:35:54,97.6,0
20:35:56,98.3,0
20:35:58,99.6,3
20:36:00,88.0,1
20:36:02,76.0,1
20:36:04,42.9,0
20:36:06,96.0,2
20:36:08,66.9,3
20:36:10,41.3,5
20:36:12,93.0,11
20:36:14,80.3,22
20:36:16,69.4,23
20:36:18,57.2,24
20:36:20,56.2,23
20:36:22,67.9,23
20:36:24,56.3,23
20:36:26,70.6,22
20:36:28,80.0,23
20:36:30,90.6,21
20:36:32,52.5,25
20:36:34,55.4,26
20:36:36,56.3,24
20:36:38,51.4,25
20:36:40,54.7,24
20:36:42,57.5,25
20:36:44,61.5,23
20:36:46,40.7,38
20:36:48,36.8,37
20:36:50,32.2,37
20:36:52,88.0,30
20:36:55,84.1,30
20:36:57,92.3,26
20:36:59,99.8,14
20:37:01,88.3,16
20:37:03,84.5,35
20:37:05,42.9,35
20:37:07,79.1,38
20:37:09,85.3,32
20:37:11,94.2,41
20:37:13,76.4,34
20:37:15,63.8,40
20:37:17,76.5,41
20:37:19,71.6,38
20:37:21,80.0,43
20:37:23,69.8,46
20:37:25,69.2,45
20:37:27,64.9,44
20:37:29,70.5,44
20:37:31,62.4,42
20:37:33,69.4,40
20:37:35,70.3,33
20:37:37,70.7,28
20:37:39,67.0,30
20:37:41,64.7,22
20:37:43,80.5,29
20:37:45,56.6,17
20:37:47,65.5,23
20:37:49,72.7,28
20:37:51,71.8,26
20:37:53,83.4,28
20:37:55,66.1,32
20:37:57,68.6,29
20:37:59,78.9,30
20:38:01,69.8,27
20:38:03,78.3,29
20:38:05,84.3,31
20:38:07,80.5,29
20:38:09,68.5,30
20:38:11,72.6,29
20:38:13,61.3,28
20:38:15,75.7,29
